doid_code	doid_name	GeneID	Symbol	count
DOID:0001816	angiosarcoma	302	ANXA2	1
DOID:0001816	angiosarcoma	595	CCND1	1
DOID:0001816	angiosarcoma	2324	FLT4	1
DOID:0001816	angiosarcoma	3091	HIF1A	1
DOID:0001816	angiosarcoma	3791	KDR	1
DOID:0001816	angiosarcoma	4609	MYC	1
DOID:0001816	angiosarcoma	5728	PTEN	1
DOID:0001816	angiosarcoma	6774	STAT3	1
DOID:0001816	angiosarcoma	7422	VEGFA	1
DOID:0002116	pterygium	3664	IRF6	4
DOID:0002116	pterygium	7157	TP53	4
DOID:0002116	pterygium	2944	GSTM1	3
DOID:0002116	pterygium	5743	PTGS2	3
DOID:0002116	pterygium	332	BIRC5	2
DOID:0002116	pterygium	1543	CYP1A1	2
DOID:0002116	pterygium	7422	VEGFA	2
DOID:0002116	pterygium	7515	XRCC1	2
DOID:0002116	pterygium	1146	CHRNG	1
DOID:0002116	pterygium	2057	EPOR	1
DOID:0002116	pterygium	2068	ERCC2	1
DOID:0002116	pterygium	2152	F3	1
DOID:0002116	pterygium	3383	ICAM1	1
DOID:0002116	pterygium	90070	LACRT	1
DOID:0002116	pterygium	4586	MUC5AC	1
DOID:0002116	pterygium	4914	NTRK1	1
DOID:0002116	pterygium	5329	PLAUR	1
DOID:0002116	pterygium	6502	SKP2	1
DOID:0002116	pterygium	7031	TFF1	1
DOID:0002116	pterygium	7032	TFF2	1
DOID:0002116	pterygium	7033	TFF3	1
DOID:0002116	pterygium	7040	TGFB1	1
DOID:0002116	pterygium	943	TNFRSF8	1
DOID:0002116	pterygium	7177	TPSAB1	1
DOID:0002116	pterygium	7507	XPA	1
DOID:0002116	pterygium	2547	XRCC6	1
DOID:0014667	disease of metabolism	549	AUH	1
DOID:0014667	disease of metabolism	617	BCS1L	1
DOID:0014667	disease of metabolism	1581	CYP7A1	1
DOID:0014667	disease of metabolism	5467	PPARD	1
DOID:0014667	disease of metabolism	5837	PYGM	1
DOID:0014667	disease of metabolism	10165	SLC25A13	1
DOID:0050012	chikungunya	708	C1QBP	1
DOID:0050012	chikungunya	3553	IL1B	1
DOID:0050012	chikungunya	3569	IL6	1
